id,IP,sex,grade,residence,school,SNS_t,SES_t,CSES_t,EIB_t,inter_raw,center_SES,female,male,freshman,sophomore,junior,senior,rural,city,private,public
1,云南,male,sophomore,city,private,0.8185880768506419,31,25,38,1.9996475999596055,2.442800788954635,0,1,0,1,0,0,0,1,1,0
2,河北,male,senior,city,private,0.1316979280319295,34,22,29,0.7168055865958767,5.442800788954635,0,1,0,0,0,1,0,1,1,0
3,云南,female,senior,rural,public,0.3726643067985962,28,17,27,-0.20764825773294562,-0.557199211045365,1,0,0,0,0,1,1,0,0,1
4,云南,female,sophomore,city,private,0.07088729282668077,28,22,30,-0.03949834363616828,-0.557199211045365,1,0,0,1,0,0,0,1,1,0
5,云南,female,sophomore,city,private,-2.014888269265291,31,22,30,-4.921970653816692,2.442800788954635,1,0,0,1,0,0,0,1,1,0
6,云南,male,sophomore,rural,private,0.4007480580486187,35,28,35,2.5819399045676783,6.442800788954635,0,1,0,1,0,0,1,0,1,0
7,北京,female,freshman,rural,public,1.1057366470398051,31,15,25,2.701094353764889,2.442800788954635,1,0,1,0,0,0,1,0,0,1
8,云南,female,sophomore,city,private,0.6697981880653078,25,16,16,-2.382605586145528,-3.557199211045365,1,0,0,1,0,0,0,1,1,0
9,浙江,female,sophomore,rural,public,0.41899513032241154,33,18,22,1.8615118955645602,4.442800788954635,1,0,0,1,0,0,1,0,0,1
10,云南,male,sophomore,city,private,0.43333427015006043,37,28,38,3.658554917904011,8.442800788954635,0,1,0,1,0,0,0,1,1,0
11,云南,female,sophomore,rural,private,-0.49748032859875096,22,14,28,3.262077618198319,-6.557199211045365,1,0,0,1,0,0,1,0,1,0
12,云南,female,sophomore,city,private,-0.9352917419786801,23,17,20,5.197602530621166,-5.557199211045365,1,0,0,1,0,0,0,1,1,0
13,云南,female,sophomore,city,private,-1.0697424909363653,27,18,26,1.6658021629078115,-1.557199211045365,1,0,0,1,0,0,0,1,1,0
14,云南,female,sophomore,city,public,-1.0698911230376842,21,16,18,8.085380350924826,-7.557199211045365,1,0,0,1,0,0,0,1,0,1
15,云南,female,sophomore,rural,private,-0.33261358614769354,28,20,31,0.18533202778446436,-0.557199211045365,1,0,0,1,0,0,1,0,1,0
16,上海,male,sophomore,city,public,1.1057366470398051,37,19,24,9.33551423600372,8.442800788954635,0,1,0,1,0,0,0,1,0,1
17,浙江,female,sophomore,city,public,0.9711372659808011,37,28,37,8.199118475405955,8.442800788954635,1,0,0,1,0,0,0,1,0,1
18,浙江,female,sophomore,city,public,-0.5601639182094317,29,16,24,-0.248041024927056,0.44280078895463504,1,0,0,1,0,0,0,1,0,1
19,浙江,male,sophomore,city,public,0.07088729282668077,26,17,30,-0.18127292928952982,-2.557199211045365,0,1,0,1,0,0,0,1,0,1
20,云南,male,sophomore,rural,public,0.2564606301147038,37,13,26,2.1652460102682243,8.442800788954635,0,1,0,1,0,0,1,0,0,1
21,浙江,female,sophomore,city,private,1.1057366470398051,28,20,32,-0.6161155873545267,-0.557199211045365,1,0,0,1,0,0,0,1,1,0
